Related Program Level;Related Program Name;Related Institution;Partner Institution;Partner Country;Partner City;Partner Program;International Agreement;latitude;longitude
Master;Ecology Monitoring and Management of Ecosystems (EMME);Université Marie & Louis Pasteur (UMLP);Chalmers University of Technology;Sweden;Gothenburg;Master's programs in Food processing and Chemistry;Erasmus+;57.7072326;11.9670171
Master;M1 : Ingénierie de l’environnement et des territoires (IET);Université Marie & Louis Pasteur (UMLP);Chalmers University of Technology;Sweden;Gothenburg;Master's programs in Food processing and Chemistry;Erasmus+;57.7072326;11.9670171
Master;M1 : Ingénierie de l’environnement et des territoires (IET);Université Marie & Louis Pasteur (UMLP);Universität Hohenheim;Germany;Stuttgart;Master's programs in Food processing;Erasmus+;48.7784485;9.1800132
Master;M1 : Ingénierie de l’environnement et des territoires (IET);Université Marie & Louis Pasteur (UMLP);Université de Liège Gembloux Agro-Bio Tech;Belgium;Gembloux;Master's programs in Chemical engineering and processes/Food processing;Erasmus+;50.5597273;4.6943126
Master;M2 : Gestion Durable de l’Environnement (GDE);Université Marie & Louis Pasteur (UMLP);Chalmers University of Technology;Sweden;Gothenburg;Master's programs in Food processing and Chemistry;Erasmus+;57.7072326;11.9670171
Master;M2 : Gestion Durable de l’Environnement (GDE);Université Marie & Louis Pasteur (UMLP);Universität Hohenheim;Germany;Stuttgart;Master's programs in Food processing;Erasmus+;48.7784485;9.1800132
Master;M2 : Gestion Durable de l’Environnement (GDE);Université Marie & Louis Pasteur (UMLP);Université de Liège Gembloux Agro-Bio Tech;Belgium;Gembloux;Master's programs in Chemical engineering and processes/Food processing;Erasmus+;50.5597273;4.6943126
Master;Géologie Appliquée (3 G);Université Marie & Louis Pasteur (UMLP);University of Chemistry and Technology UCT Prague;Czech Republic;Prague;Master's programs in Natural sciences, mathematics and statistics/Engineering, manufacturing and construction;Erasmus+;50.0874654;14.4212535
Master;Géologie Appliquée (3 G);Université Marie & Louis Pasteur (UMLP);Technische Universität Kaiserslautern;Germany;Kaiserslautern;Master's programs in Information and Communication, Electronics and automation, Mathematics, Physics, Chemistry;Erasmus+;49.4432174;7.7689951
Master;Behavioral and Digital Economics for Effective Management (BDEEM);Université Bourgogne Europe (UBE);Haliç University;Turkey;Istanbul;Master's programs in Business and administration;Erasmus+;41.006381;28.9758715
Master;International Master in Microbiology: For the Microbes;Université Marie & Louis Pasteur (UMLP), Université Johannes Gutenberg (JGU);Yerevan State University;Armenia;Yerevan;Master's in Biology and Physico-Chemistry;Double degree;40.1777112;44.5126233
Master;International Master in Microbiology: For the Microbes;Université Marie & Louis Pasteur (UMLP), Université Johannes Gutenberg (JGU);University of Chemistry and Technology UCT Prague;Czech Republic;Prague;Master's programs in Natural sciences, mathematics and statistics/Engineering, manufacturing and construction;Erasmus+;50.0874654;14.4212535
Master;Agroécologie : Agrosciences, Environnement, Territoire, Paysage, Forêt;Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Universität Hohenheim;Germany;Stuttgart;Master's programs in Food processing;Erasmus+;48.7784485;9.1800132
Master;Agroécologie : Agrosciences, Environnement, Territoire, Paysage, Forêt;Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Université de Liège Gembloux Agro-Bio Tech;Belgium;Gembloux;Master's programs in Chemical engineering and processes/Food processing;Erasmus+;50.5597273;4.6943126
Master;Changement Climatique, Adaptation, Territoires (CCLIMAT);Université Marie & Louis Pasteur (UMLP);Chalmers University of Technology;Sweden;Gothenburg;Master's programs in Food processing and Chemistry;Erasmus+;57.7072326;11.9670171
Master;Changement Climatique, Adaptation, Territoires (CCLIMAT);Université Marie & Louis Pasteur (UMLP);Universität Hohenheim;Germany;Stuttgart;Master's programs in Food processing;Erasmus+;48.7784485;9.1800132
Master;Aide à la décision, Géomatique et Aménagement pour une Transition Écologique (AGATE);Université Marie & Louis Pasteur (UMLP);Chalmers University of Technology;Sweden;Gothenburg;Master's programs in Food processing and Chemistry;Erasmus+;57.7072326;11.9670171
Master;Aide à la décision, Géomatique et Aménagement pour une Transition Écologique (AGATE);Université Marie & Louis Pasteur (UMLP);Universität Hohenheim;Germany;Stuttgart;Master's programs in Food processing;Erasmus+;48.7784485;9.1800132
Master;Dynamique et Conservation de la Biodiversité (DyCoB);Université Marie & Louis Pasteur (UMLP);Yerevan State University;Armenia;Yerevan;Master's in Biology and Physico-Chemistry;Double degree;40.1777112;44.5126233
Master;Dynamique et Conservation de la Biodiversité (DyCoB);Université Marie & Louis Pasteur (UMLP);University of Chemistry and Technology UCT Prague;Czech Republic;Prague;Master's programs in Natural sciences, mathematics and statistics/Engineering, manufacturing and construction;Erasmus+;50.0874654;14.4212535
